CMDLINE 'C:\Program Files\Python312\python.exe' .\scraper_sync.py
MEM 2.183594 1732556510.8268
MEM 30.800781 1732556510.9277
MEM 37.617188 1732556511.0281
MEM 37.992188 1732556511.1287
MEM 38.507812 1732556511.2290
MEM 39.789062 1732556511.3294
MEM 39.898438 1732556511.4299
MEM 39.898438 1732556511.5306
MEM 39.898438 1732556511.6313
MEM 39.933594 1732556511.7323
MEM 39.933594 1732556511.8334
MEM 39.933594 1732556511.9341
MEM 39.933594 1732556512.0347
MEM 39.933594 1732556512.1351
MEM 39.933594 1732556512.2359
MEM 39.933594 1732556512.3366
MEM 39.933594 1732556512.4370
MEM 39.937500 1732556512.5378
MEM 39.937500 1732556512.6388
MEM 39.937500 1732556512.7393
MEM 39.937500 1732556512.8400
MEM 39.937500 1732556512.9409
MEM 39.937500 1732556513.0422
MEM 39.937500 1732556513.1431
MEM 39.937500 1732556513.2437
MEM 39.937500 1732556513.3444
MEM 39.937500 1732556513.4447
MEM 39.937500 1732556513.5450
MEM 39.937500 1732556513.6459
MEM 39.937500 1732556513.7469
MEM 39.937500 1732556513.8478
MEM 39.937500 1732556513.9489
MEM 39.937500 1732556514.0499
MEM 39.937500 1732556514.1509
MEM 39.937500 1732556514.2516
MEM 39.937500 1732556514.3524
MEM 39.937500 1732556514.4530
MEM 39.937500 1732556514.5540
MEM 39.937500 1732556514.6547
MEM 39.937500 1732556514.7554
MEM 39.937500 1732556514.8562
MEM 39.937500 1732556514.9570
MEM 39.937500 1732556515.0579
MEM 39.937500 1732556515.1588
MEM 39.937500 1732556515.2594
MEM 39.937500 1732556515.3603
MEM 39.937500 1732556515.4613
MEM 39.937500 1732556515.5621
MEM 39.937500 1732556515.6627
MEM 39.937500 1732556515.7632
MEM 39.937500 1732556515.8642
MEM 39.937500 1732556515.9651
MEM 39.937500 1732556516.0665
MEM 39.937500 1732556516.1675
MEM 39.937500 1732556516.2684
MEM 39.937500 1732556516.3693
MEM 39.937500 1732556516.4699
MEM 39.937500 1732556516.5707
MEM 39.937500 1732556516.6712
MEM 39.937500 1732556516.7719
MEM 39.937500 1732556516.8733
MEM 39.937500 1732556516.9739
MEM 39.937500 1732556517.0746
MEM 39.937500 1732556517.1756
MEM 39.937500 1732556517.2765
MEM 39.937500 1732556517.3774
MEM 39.937500 1732556517.4782
MEM 39.937500 1732556517.5794
MEM 39.937500 1732556517.6801
MEM 39.937500 1732556517.7812
MEM 39.937500 1732556517.8821
MEM 39.937500 1732556517.9829
MEM 39.937500 1732556518.0841
MEM 39.937500 1732556518.1852
MEM 39.937500 1732556518.2861
MEM 39.937500 1732556518.3870
MEM 39.937500 1732556518.4890
MEM 39.937500 1732556518.5898
MEM 39.937500 1732556518.6907
MEM 39.937500 1732556518.7917
MEM 39.937500 1732556518.8924
MEM 39.937500 1732556518.9933
MEM 39.937500 1732556519.0940
MEM 39.937500 1732556519.1948
MEM 39.937500 1732556519.2954
MEM 39.937500 1732556519.3960
MEM 39.937500 1732556519.4971
MEM 39.937500 1732556519.5977
MEM 39.937500 1732556519.6987
MEM 39.937500 1732556519.7998
MEM 39.937500 1732556519.9009
MEM 39.937500 1732556520.0018
MEM 39.937500 1732556520.1028
MEM 39.937500 1732556520.2038
MEM 39.937500 1732556520.3077
MEM 39.937500 1732556520.4090
MEM 39.937500 1732556520.5100
MEM 39.937500 1732556520.6104
MEM 39.937500 1732556520.7110
MEM 39.937500 1732556520.8121
MEM 39.937500 1732556520.9131
MEM 39.937500 1732556521.0138
MEM 39.937500 1732556521.1144
MEM 39.937500 1732556521.2166
MEM 39.937500 1732556521.3174
MEM 39.937500 1732556521.4184
MEM 39.937500 1732556521.5194
MEM 39.937500 1732556521.6204
MEM 39.937500 1732556521.7211
MEM 39.937500 1732556521.8220
MEM 39.937500 1732556521.9229
MEM 39.937500 1732556522.0236
MEM 39.937500 1732556522.1244
MEM 39.937500 1732556522.2252
MEM 39.937500 1732556522.3261
MEM 39.937500 1732556522.4266
MEM 39.937500 1732556522.5274
MEM 39.937500 1732556522.6282
MEM 39.937500 1732556522.7291
MEM 39.937500 1732556522.8298
MEM 39.937500 1732556522.9308
MEM 39.937500 1732556523.0373
MEM 39.937500 1732556523.1379
MEM 39.937500 1732556523.2389
MEM 39.937500 1732556523.3398
MEM 39.937500 1732556523.4406
MEM 39.937500 1732556523.5411
MEM 39.937500 1732556523.6417
MEM 39.937500 1732556523.7427
MEM 39.937500 1732556523.8435
MEM 39.937500 1732556523.9440
MEM 39.937500 1732556524.0449
MEM 39.937500 1732556524.1455
MEM 39.937500 1732556524.2469
MEM 39.937500 1732556524.3477
MEM 39.937500 1732556524.4485
MEM 39.937500 1732556524.5491
MEM 39.937500 1732556524.6502
MEM 39.937500 1732556524.7509
MEM 39.937500 1732556524.8520
MEM 39.937500 1732556524.9525
MEM 39.937500 1732556525.0555
MEM 39.937500 1732556525.1566
MEM 39.937500 1732556525.2576
MEM 39.937500 1732556525.3582
MEM 39.937500 1732556525.4595
MEM 39.937500 1732556525.5606
MEM 39.937500 1732556525.6617
MEM 39.937500 1732556525.7625
MEM 39.937500 1732556525.8650
MEM 39.937500 1732556525.9659
MEM 39.937500 1732556526.0672
MEM 39.937500 1732556526.1680
MEM 39.937500 1732556526.2690
MEM 39.937500 1732556526.3698
MEM 39.937500 1732556526.4705
MEM 39.937500 1732556526.5715
MEM 39.937500 1732556526.6722
MEM 39.937500 1732556526.7730
MEM 39.937500 1732556526.8737
MEM 39.937500 1732556526.9748
MEM 39.937500 1732556527.0756
